"Amplitude","Peak_Occurence_Time","Prominence","FWHP","FWHM","Peak_Rise_Time","Transient_Ocurrence_Time","Rise_Rate"
307.659075748632,60.337,307.659018781506,79.8931463821274,79.8931463821274,60.337,0,71.1835204010578
0.618075748631782,754.219,35.4091139601809,151.900008336112,22.5566212070689,70.394,683.825,6.53524540413861
25.0825541093121,663.712,68.4094889292724,81.9629506502167,43.3700840280093,70.393,593.319,12.6818843118968
8.40855410931209,965.4,23.9623177911391,67.5367932644214,41.4117599199733,80.4499999999999,884.95,5.11334282670519
185.220554109312,2855.975,219.522685231625,295.165034678226,271.579135378459,110.619,2745.356,35.3343832792174
82.1935541093121,3318.562,57.5146490941009,80.057429476492,110.005084694898,120.675,3197.887,7.48003006229686
325.867262300449,301.688,438.150240370682,68.5698732910971,60.2975191730577,80.451,221.237,92.1719387473087
303.416262300449,3228.056,437.95003340208,75.7687069023009,60.1130120040011,90.5059999999999,3137.55,86.8114920665909
123.133374920273,653.656,211.392142383686,71.0476242080692,53.9098602867623,80.4499999999999,573.206,46.4032607480878
111.126374920273,1257.031,191.273086429121,72.187712570857,54.617126042014,70.394,1186.637,37.7975966672707
305.663374920273,1840.294,403.65279252867,204.455419139713,181.424237745915,120.675,1719.619,60.4497548972605
294.946374920273,2443.669,383.344852274973,74.3337612537512,61.4842947649217,70.3939999999998,2373.275,72.3491709200223
78.0053749202731,2715.188,160.166785185132,121.671640546849,70.0215071690563,90.5070000000001,2624.681,24.7892063973634
103.412374920273,2976.65,206.63120701113,68.0766862287428,47.2395141713905,80.4500000000003,2896.2,38.148568158653
175.765531807859,301.688,211.273841278108,137.079101033678,117.187349449817,100.563,201.125,33.6965788569881
64.9225318078593,603.375,46.6900064895144,64.948152384128,83.6017769256418,60.338,543.037,9.07538635812584
10.8355318078593,995.569,61.1422013993291,80.2385221740579,24.4149953317774,70.394,925.175,10.8871615754844
23.8625318078593,1337.481,57.1586032823676,79.4170046682227,45.6334834944983,70.394,1267.087,10.4233434989024
237.883531807859,1910.687,222.239629546406,81.1146305435145,86.3389683227745,80.4499999999998,1830.237,39.9797572535593
164.764531807859,2061.531,94.8513059700061,66.9871253751248,99.9716428809602,70.394,1991.137,19.5658222986511
201.052531807859,2242.544,162.884748486332,217.800936312104,235.43491297099,100.563,2141.981,22.5278799060047
114.432531807859,2524.119,51.2728901193809,75.4568759586532,451.367223407803,70.3940000000002,2453.725,9.15597736791287
30.6325318078593,3399.012,49.4202479007439,64.4981070356785,44.8152727575857,60.337,3338.675,10.7347739122072
1.18281554632381,1196.694,10.3513095145545,62.4602980993664,47.0385085028345,110.619,1086.075,1.45747615700144
4.52181554632381,1417.931,7.00885501754505,297.328834278093,248.58932444148,140.787,1277.144,0.724674760107291
7.54481554632383,1568.775,4.90659954995107,64.0595531843946,103.600728242747,90.5060000000001,1478.269,0.740048124285266
40.0678155463238,1759.844,40.9778243514438,83.6755555185064,82.5220570190065,90.5070000000001,1669.337,6.83826074845952
6.33581554632383,1930.8,4.93319326064483,67.7346615538513,79.004561520507,60.338,1870.462,1.00649328107203
4.23081554632381,2071.587,4.12108659256648,88.3465425141715,90.059856618873,80.45,1991.137,0.759479233574865
6.53081554632382,2212.375,6.77506197665167,74.1158069356452,72.1307065688561,60.3380000000002,2152.037,1.26090332800511
4.02081554632383,2353.162,2.26976027638335,38.8559279759916,51.504741580527,60.337,2292.825,0.501361590957131
18.4938155463238,2685.019,12.3480099215521,92.0784278092701,42.2174311437143,70.3939999999998,2614.625,2.9304383252167
19.5438155463238,2835.862,8.07033452454988,67.2652134044679,193.68089363121,70.393,2765.469,1.52512575064097
34.3628155463238,3107.381,20.4909544904356,106.487846948983,181.95834078026,211.181,2896.2,1.41597731424372
45.0328155463238,3419.125,10.4208658647237,177.601803934645,422.11436312104,160.9,3258.225,0.972376876903297
436.79734107218,170.956,455.86044519526,132.206185061687,127.461641213738,100.562,70.394,67.8624512919243
26.2423410721796,1297.256,23.1599029051738,109.008476492164,116.514346782261,110.619,1186.637,3.21697111491692
5.42834107217959,1609,4.27212032653978,72.3218406135377,85.2280796932309,80.45,1528.55,0.80064264596394
12.2443410721796,2061.531,10.4872576992061,106.772617205736,120.272357785929,100.562,1960.969,1.81484475668707
13.2473410721796,2302.881,8.28730933437271,110.172786595532,143.131637212404,100.562,2202.319,1.34529478516007
20.2183410721796,2544.231,15.6498920756254,78.3775078359454,124.480661887296,140.787,2403.444,2.05071978875319
28.0253410721796,2946.481,22.6464618480849,71.0811957319111,80.5537222407474,60.3370000000004,2886.144,4.77913462134143
5.27734107217958,3147.606,16.6242441988852,84.1047709236414,39.0680880293435,60.3370000000004,3087.269,3.71860880789535
15.4393410721796,3348.731,40.5048903556872,73.2473241080365,38.1223117705899,60.3370000000004,3288.394,7.67617707830149
90.6839496661819,251.406,95.9391015485007,66.4439129709903,63.5400266755585,90.506,160.9,19.1192853257791
32.5989496661819,663.712,69.1312687036851,79.0288769589863,49.0805711903968,70.393,593.319,12.6328244386412
43.7389496661819,955.344,73.097651861957,69.9075358452817,55.7497132377459,70.394,884.95,15.2913930638971
18.7269496661819,2413.5,83.6727378400746,774.605728242748,48.3468936312102,100.562,2312.938,12.2379910241829
8.95694966618191,2534.175,4.68255119268252,52.7228172724244,86.2215735245081,60.3380000000002,2473.837,1.10595342386658
145.100949666182,2845.919,163.978436615511,227.963909303101,102.302121373791,80.4499999999998,2765.469,27.5925646464653
74.9999496661819,2986.706,10.1112486062074,58.3291627209069,274.808008002668,60.337,2926.369,2.4218987952225
