"AUC","Time_Onset","Frequency","baseline1","Number_of_Peaks"
33958.9431964275,0,0.000552448035356674,398.681924251368,2
58594.4412230214,593.319,0.00110489607071335,468.672445890688,4
59031.7863716644,221.237,0.000552448035356674,476.192737699551,2
89156.5434169453,573.206,0.00165734410607002,482.626625079727,6
212700.983788469,201.125,0.00248601615910503,442.503468192141,9
41154.2144753323,1086.075,0.00331468821214005,352.793184453676,12
72403.5101431189,70.394,0.00248601615910503,295.66765892782,9
35989.2541269304,160.9,0.00193356812374836,462.499050333818,7
137339.304118962,0,0.0022097921414267,437.611483218743,8
89060.444177157,341.912,0.00248601615910503,344.210749858048,9
