"AUC","Time_Onset","Frequency","baseline1","Number_of_Peaks"
7569276.38690715,0,0.00165899659820093,17419.4731258185,6
8019259.81089683,0,0.00304149376336837,11339.0545880813,11
424648.818960957,281.294529,0.000276499433033489,19091.6174415599,1
4786640.26830854,1506.934977,0.00221199546426791,18104.0771624806,8
7940967.29177093,70.32363224,0.00221199546426791,15530.3013880743,8
1303415.91578384,0,0.00165899659820093,16391.7375672509,6
659565.920098968,401.8493271,0.000829498299100466,16811.0957144739,3
12406085.429397,110.5085649,0.00193549603123442,14298.6978735942,7
583251.640136689,0,0.000829498299100466,28673.5638904914,3
1968222.43465592,140.6472645,0.000552998866066977,23228.6502031795,2
2121726.35271509,0,0.00165899659820093,18573.6367478918,6
126635.16597122,0,0.000276499433033489,13515.2756249967,1
20056863.0762626,200.9246635,0.00221199546426791,12588.1717406534,8
1913124.2564028,271.2482958,0.00165899659820093,18414.2721180498,6
4161581.14219971,0,0.00165899659820093,11098.729569817,6
2398178.35584138,0,0.000829498299100466,27878.4407626948,3
13304627.3660323,0,0.00221199546426791,16989.1584373365,8
15301864.3103616,0,0.00193549603123442,23843.2414710094,7
16801742.6305487,110.5085649,0.0024884948973014,20717.2306243137,9
80852.2781665027,70.32363224,0.000276499433033489,28208.4544401765,1
1217112.03417812,190.8784304,0.00110599773213395,11518.7136077264,4
1772605.94653969,140.6472645,0.00165899659820093,9937.08469215218,6
15024507.7859259,221.0171299,0.00276499433033489,21085.869303637,10
9222149.62845184,80.36986542,0.0024884948973014,10882.6539216201,9
201347.003041744,221.0171299,0.000276499433033489,13851.1772387601,1
8238195.00472686,1195.501748,0.00165899659820093,7760.4882013489,6
930395.641277984,70.32363224,0.00221199546426791,13638.2800264376,8
1581644.259194,0,0.00138249716516744,23766.3811134087,5
422297.53021732,0,0.00138249716516744,11493.5250904455,5
4089825.14805973,0,0.00221199546426791,8294.39571426268,8
35593.3601506948,30.13869953,0.000276499433033489,11357.7399625384,1
24245723.3579625,311.4332285,0.0024884948973014,6081.77165344255,9
10374977.8240909,130.6010313,0.00221199546426791,22392.8969081503,8
19275304.2144068,0,0.00193549603123442,13548.4522879375,7
4332348.81579281,0,0.00110599773213395,23013.1310372064,4
2224892.0643958,1044.80825,0.000829498299100466,11573.329410493,3
2495382.9849177,0,0.00221199546426791,8422.03486378135,8
3866270.20518638,1406.472645,0.00193549603123442,13277.6650564902,7
7032001.41823886,0,0.00304149376336837,24030.7354881409,11
3589697.98143757,0,0.00221199546426791,18118.5842743773,8
4702926.8670873,130.6010313,0.0024884948973014,9221.09194289797,9
408235.572400182,0,0.00110599773213395,13796.6209008176,4
9427607.31610811,0,0.00304149376336837,9957.20330046219,11
7730077.75157422,0,0.00193549603123442,11320.5049136335,7
7275051.55580988,482.2191925,0.00221199546426791,10327.4787544297,8
2209991.35617007,0,0.00138249716516744,19239.8638828948,5
13213213.9028197,0,0.00221199546426791,18998.9692035822,8
11596508.7315022,311.4332285,0.00276499433033489,12407.476109819,10
3706189.37452425,311.4332285,0.0024884948973014,12532.4245508922,9
198427.258562542,793.652421,0.000276499433033489,12187.5468074494,1
27672478.2730096,0,0.00276499433033489,13766.6531114865,10
16798920.9254968,0,0.00221199546426791,18827.9732227718,8
8904623.7708321,70.32363224,0.00387099206246884,10519.8603024121,14
6381032.86762662,0,0.00304149376336837,22662.7325709243,11
12801428.3172971,0,0.00304149376336837,10435.2699705515,11
3382342.9709518,110.5085649,0.00165899659820093,19192.7388840311,6
24626383.1080622,160.7397308,0.00359449262943535,15957.6860647768,13
506420.507219002,0,0.000829498299100466,11665.3621234956,3
4691401.27789044,0,0.00138249716516744,13323.8052924344,5
20936642.2744078,0,0.00276499433033489,9613.55209159376,10
4441406.4276401,0,0.00359449262943535,9551.61600304729,13
20569477.2715603,0,0.00304149376336837,12941.7455619511,11
11802041.7187386,502.3116589,0.0024884948973014,12714.07842134,9
10088182.1205503,160.7397308,0.00359449262943535,11404.8423096206,13
8140592.84512543,1054.854484,0.0024884948973014,5804.1619992446,9
15032946.7388894,0,0.00387099206246884,7764.26868129919,14
2864081.057567,80.36986542,0.00276499433033489,10440.0480108674,10
926311.870702073,0,0.000829498299100466,16129.6210603559,3
