"AUC","Time_Onset","Frequency","baseline1","Number_of_Peaks"
120203.861028729,0,0.00248598654838037,177.317719614782,9
72064.9147817099,30.16910934,0.00220976582078255,190.898351493186,8
21688.4687185455,1337.497181,0.00220976582078255,139.584849969035,8
196309.433795124,532.9875984,0.00193354509318473,201.365699947986,7
44465.4840331463,50.28184891,0.00331464873117383,167.736278059618,12
59444.6756505375,80.45095825,0.00359086945877165,192.955038077017,13
118295.954762726,120.6764374,0.00303842800357601,184.672996990443,11
174672.510068627,0,0.00359086945877165,186.910676624491,13
158087.63194329,80.45095825,0.00248598654838037,245.979291392791,9
55006.2436801209,60.33821869,0.00331464873117383,153.895244096907,12
67292.5430872994,10.05636978,0.00248598654838037,186.265425541338,9
18214.7708837374,110.6200676,0.00110488291039128,196.043888111927,4
1679.05142327875,10.05636978,0.000828662182793458,190.606919632621,3
175613.550693744,301.6910934,0.00276220727597819,193.856775325612,10
134831.264838443,160.9019165,0.00303842800357601,203.466423443595,11
67520.0895295712,80.45095825,0.00331464873117383,195.524606332436,12
41325.4916871008,60.33821869,0.00386709018636947,153.418770005223,14
37302.1355420791,60.33821869,0.0013811036379891,179.636674596019,5
16101.8216570318,110.6200676,0.00110488291039128,194.479464305052,4
6739.24567559885,170.9582863,0.00110488291039128,191.138287757546,4
184958.011746748,60.33821869,0.00359086945877165,209.660708468083,13
84358.3294934008,201.1273956,0.00331464873117383,194.820918288412,12
12698.7421610234,251.4092445,0.00220976582078255,147.306247254017,8
98884.5621815852,532.9875984,0.00359086945877165,134.5104694049,13
8391.97238199168,90.50732803,0.000552441455195639,135.084771123129,2
7203.21132806106,553.100338,0.00303842800357601,173.796529800932,11
96253.9463899867,563.1567078,0.00276220727597819,193.406163640562,10
40015.7265300737,563.1567078,0.00276220727597819,133.555313836455,10
23948.6125788928,1126.313416,0.00276220727597819,143.719168090246,10
735.957657914376,NA,0,104.844514420898,0
163103.236601806,301.6910934,0.00303842800357601,183.508546604795,11
13977.4308015443,80.45095825,0.0013811036379891,157.242590422783,5
22801.5805730748,110.6200676,0.00220976582078255,185.68450177312,8
48035.5181877422,201.1273956,0.00331464873117383,177.01114292919,12
71920.882188571,140.7891769,0.00248598654838037,168.749728493752,9
196406.651433968,80.45095825,0.00248598654838037,214.537166165023,9
37725.8670227203,0,0.00331464873117383,120.283909615372,12
48018.8321968934,90.50732803,0.00276220727597819,172.786895069534,10
1008.03336063598,170.9582863,0.000276220727597819,181.132444881942,1
34547.2818629993,231.296505,0.00248598654838037,176.141276501447,9
2422.13750118273,NA,0,171.327705260722,0
16277.2168657507,80.45095825,0.00414331091396729,175.207724591103,15
25363.2293976898,170.9582863,0.00248598654838037,190.991094390879,9
474732.148250194,170.9582863,0.00248598654838037,201.540493503241,9
30782.2785463465,0,0.00386709018636947,172.658369446588,14
8653.79705671524,60.33821869,0.00193354509318473,177.145703428961,7
36479.8374531528,593.3258171,0.000828662182793458,155.721071139219,3
