"Amplitude","Peak_Occurence_Time","Prominence","FWHP","FWHM","Peak_Rise_Time","Transient_Ocurrence_Time","Rise_Rate"
704.566258749561,221.2374916,977.047284523262,81.8851669803268,69.3374889881627,110.6187458,110.6187458,160.891198829108
2004.50125874956,472.6437321,2088.31827919755,314.466537325575,295.40359003868,191.0687428,281.5749893,190.398597417181
1709.08325874956,633.543726,509.394653403084,53.4600825665555,357.498164933978,60.3374977,573.2062283,101.078358434233
1201.43125874956,844.724968,709.960824295245,71.409767175125,104.351613238746,70.3937473999999,774.3312206,148.141656865197
1115.84625874956,1045.84996,764.130381635223,111.648178613605,97.5446150627209,130.7312447,915.1187153,101.655559174017
2447.19525874956,1196.693705,1879.7001165514,100.170170963988,52.8732726722239,90.5062469999998,1106.187458,385.968683220907
3021.91125874956,1367.649948,1493.40970109216,35.7853600080025,95.4991625901966,70.3937470000001,1297.256201,278.846862879338
4251.17525874956,1790.012432,525.852855264686,97.3702490843614,460.823698688896,100.562496,1689.449936,71.549513202337
4416.45725874956,1900.631178,467.784740284464,39.4101706395465,570.721506104702,60.3374980000001,1840.29368,90.5486415106134
4873.43025874956,2021.306173,1341.84381919088,40.3557732364122,682.68488568056,70.3937469999998,1950.912426,295.588524177034
6132.47425874956,2262.656164,1702.22370872418,299.424078366789,768.39270114038,170.956243,2091.699921,197.480676145312
6062.02125874956,2433.612408,519.368456579134,87.9611668656216,940.874651563855,90.5062469999998,2343.106161,88.2595032916879
9041.67625874956,2815.749893,3753.12704588852,67.4831685978661,688.096951384462,120.674995,2695.074898,536.544410632125
9446.30125874956,3006.818636,488.965015646565,82.6564030143381,841.908279210404,140.787495,2866.031141,62.4576358164195
9492.86125874956,3207.943628,498.484517561094,80.9898627349116,1034.34177437813,90.5062459999999,3117.437382,90.6173160820654
9459.06625874956,3318.562374,281.295426687037,69.6258643907972,1151.84128870357,60.3374979999999,3258.224876,53.843800098196
9199.93325874956,3449.293619,92.7131263425545,61.5245305655217,1302.95328877959,70.3937470000001,3378.899872,20.5425307621872
9483.50825874956,3569.968615,356.382588648779,74.8132664834943,1400.83322502434,70.3937480000004,3499.574867,65.9843016836867
1607.38630640915,251.4062405,1691.54491330658,1191.42582640077,1184.84349297376,211.18124203,40.22499847,139.45439302417
1882.57930640916,432.4187336,592.468226196961,74.6724317567522,1164.20118762904,60.3374977,372.0812359,109.001324844338
1800.41430640915,593.3187275,294.264976932722,112.838564806302,1163.18181454301,100.5624962,492.7562313,46.5629184885847
2101.42130640915,764.274971,567.253387258173,98.8657765069023,1141.59725973414,100.5624962,663.7124748,84.493435456694
1969.23230640915,1065.96246,331.949735664897,77.1202687742582,1155.56669523861,70.3937477999999,995.5687122,59.8418194288452
61.705306409156,1759.843683,419.191437621947,336.077916780594,39.5811837675892,150.843744,1608.999939,69.7998373883265
1213.48147493742,170.9562435,1213.48178577858,58.9090340999,58.9090340999,170.9562435,0,135.512221815497
1483.40847493742,321.7999878,480.4648167628,130.392571692064,197.503535384461,100.5624962,221.2374916,68.0122888400897
1563.65547493742,643.5999756,185.231671323065,99.6839575368789,521.18131571117,70.3937473,573.2062283,33.8870300458393
1377.64647493742,854.7812176,436.30716033613,76.4496281676226,737.71091319153,70.3937473999999,784.3874702,91.2739700190778
2437.60947493742,1146.412457,857.135413724369,38.9910210380124,196.832895685729,100.562497,1045.84996,157.03779328247
5133.36347493742,1538.606192,1213.64222969634,448.379969638546,214.229302023341,90.506247,1448.099945,220.365463747144
6214.34847493742,1729.674934,1325.32059216002,174.661530781927,383.562595783594,140.787494,1588.88744,131.822569836711
9030.01647493742,2383.33116,1925.79208994626,278.620819325442,349.856220405802,170.956244,2212.374916,149.929510405912
9239.71847493742,2524.118654,777.619941847577,62.0275115611871,481.251398196065,60.337497,2463.781157,164.589702467906
8664.10447493742,2765.468645,1737.03507202022,59.9351138852949,736.362926004668,120.674995,2644.79365,217.296512929505
8973.68647493742,2866.031141,696.335940489946,61.1020275495166,839.091590420807,60.337497,2805.693644,152.577286303839
8916.20847493742,2986.706137,586.446792887349,143.691366409136,956.064652577526,60.3374980000003,2926.368639,133.517517403751
9134.41047493742,3217.999878,623.366767712854,71.979811412471,1174.76712367289,100.562496,3117.437382,102.685640114962
10479.0984749374,3479.462368,2345.17420462362,112.95257326909,1378.97035413805,181.012493,3298.449875,255.044004780017
2444.0078587772,261.4624901,2444.00778752965,280.387956247683,280.387956247683,261.4624901,0,131.02623918001
1211.0468587772,512.8687305,332.572627469195,35.8054796252418,475.819213338376,60.3374977,452.5312328,69.4770722732255
1670.1718587772,744.1624718,1348.27387521944,79.8195952006336,93.078151683828,60.3374977000001,683.8249741,256.531854300715
682.820858777199,1035.793711,609.782256384427,83.9976837188395,91.2070657600533,70.3937476,965.3999634,107.89635805824
2407.3458587772,1488.324944,3448.1729314587,131.633256412137,116.812108498833,191.068743,1297.256201,399.902231864225
6675.3038587772,1840.29368,4396.55359160526,1258.09752030443,1690.15746080794,301.687488,1538.606192,405.260723370029
6359.4088587772,2101.75617,215.528222091503,57.7823588699566,1704.96519726542,60.3374970000002,2041.418673,47.4924849232748
6878.5138587772,2212.374916,704.514232947782,74.5886017545854,1567.06145470157,60.3374980000003,2152.037418,130.798684153196
6767.3788587772,2413.499908,571.166872264883,84.5677284258086,1683.54830234612,80.4499969999997,2333.049911,111.14903304934
6778.6818587772,2634.7374,768.297122218049,90.251403129043,1684.91976153051,110.618746,2524.118654,95.9331466457061
3580.88730163315,201.1249924,3580.88748234164,123.843770338069,123.843770338069,201.1249924,0,352.915256877855
