"AUC","Time_Onset","Frequency","baseline1","Number_of_Peaks"
7721532.48203865,0,0.00221198433536841,15817.9858473364,8
8963871.05265743,0,0.00359447454497367,11084.4042619582,13
3835253.32906461,0,0.00304147846113157,13510.6795749596,11
1580042.30045737,733.3787117,0.00138249020960526,8023.91483835034,5
102302.79067792,502.3141861,0.000829494125763155,21806.3058933623,3
530744.096078485,0,0.000276498041921052,25950.7685440811,1
9166333.51000188,622.8695908,0.00221198433536841,25672.6432428308,8
6973834.47116913,0,0.00221198433536841,11510.6621969752,8
4888221.70847218,200.9256744,0.00359447454497367,20985.237850588,13
163499.651488915,80.37026978,0.00110599216768421,24018.6163095193,4
910610.28372401,40.18513489,0.000552996083842103,25644.3100353466,2
10195559.1668822,562.5918884,0.00276498041921052,14207.0781020468,10
10086118.8243406,311.4347954,0.00414747062881577,9319.60670955556,15
9381407.52378305,170.7868233,0.00165898825152631,10115.7565922705,6
368030.703002498,0,0.000552996083842103,14877.1590562466,2
4421982.27012009,0,0.00331797650305262,10056.1468917159,12
68098.2187235504,0,0.000276498041921052,15155.1550292373,1
216579.149761543,0,0.000276498041921052,24562.3751160776,1
7157.72331356257,NA,0,11216.7423311164,0
160112.869339675,0,0.00110599216768421,28237.6166370266,4
6002068.82775009,301.3885117,0.00138249020960526,11779.3131170121,5
2680700.9453389,954.3969536,0.00110599216768421,9480.68843057763,4
3667622.71561626,653.0084419,0.00331797650305262,8592.49722784256,12
116771.773024619,160.7405396,0.000276498041921052,20406.6237412864,1
6458477.55029907,140.6479721,0.00359447454497367,6101.90046983162,13
31993.5429925546,0,0.000276498041921052,10816.0963179033,1
5727968.9999851,431.9902,0.00359447454497367,14433.6286156166,13
64482.7336588874,311.4347954,0.000276498041921052,13381.175372461,1
107862.911290467,0,0.000552996083842103,26267.0824697769,2
6852671.00528166,10.04628372,0.00359447454497367,14830.4822716326,13
6706978.1266039,281.2959442,0.00304147846113157,9597.79971775843,11
335420.834540591,0,0.00110599216768421,28670.5091931521,4
105291.619487129,0,0.000276498041921052,20137.81052572,1
49451.7083192766,0,0.000552996083842103,21834.8836551515,2
2697885.85035849,542.499321,0.00304147846113157,13792.2494215867,11
792947.869054504,0,0.000829494125763155,14639.9785609089,3
90864.3884753883,0,0.000552996083842103,15347.0926093989,2
7821689.95046152,321.4810791,0.00248848237728946,22492.6172477719,9
229282.041246638,0,0.00110599216768421,22050.7582696395,4
1321851.32916836,813.7489815,0.00110599216768421,18807.6868826055,4
6173489.01975587,0,0.00331797650305262,12787.3165609023,12
118235.241157092,0,0.000552996083842103,17734.8871305092,2
3631799.6230745,110.5091209,0.00304147846113157,20950.7052163462,11
37136.3134456947,NA,0,11207.1365641194,0
1673881.07676035,2863.190861,0.000276498041921052,10912.5744518853,1
2423.89680285752,110.5091209,0.000276498041921052,17973.8814807389,1
670943.285197511,110.5091209,0.00165898825152631,11088.7554427782,6
100754.570830002,482.2216187,0.000552996083842103,14864.2713763606,2
1993344.17198905,20.09256744,0.00248848237728946,10092.4812290113,9
99829.4213712886,0,0.000276498041921052,13391.565388921,1
5251517.00780915,311.4347954,0.00331797650305262,18915.1832759006,12
269604.358717412,NA,0,13004.1968357238,0
908974.394984052,10.04628372,0.000829494125763155,21121.4118742612,3
3131779.81808446,0,0.00304147846113157,18466.977461343,11
107202.952454418,0,0.000552996083842103,14001.1785044301,2
1918228.03486727,452.0827675,0.00138249020960526,12940.1459094456,5
3886403.75246579,0,0.00138249020960526,14102.7868094684,5
412959.098097794,0,0.000552996083842103,16160.6308529854,2
3870.40705649555,0,0.000276498041921052,27940.7235171589,1
1304039.03849892,140.6479721,0.00110599216768421,13400.0340184628,4
854704.137397885,2712.496605,0.00110599216768421,27391.7302694151,4
1959870.43827769,0,0.00138249020960526,17342.5417496348,5
5845118.77210701,221.0182419,0.00248848237728946,15115.1028096197,9
20119.9271430001,200.9256744,0.000276498041921052,18272.4732097077,1
2099387.04334287,0,0.000829494125763155,22931.40690758,3
2290192.90566467,542.499321,0.00165898825152631,21418.3075765729,6
9860.43344989419,110.5091209,0.000552996083842103,14199.290344464,2
4728524.60176264,110.5091209,0.00248848237728946,12697.4805863034,9
1547536.65040568,2240.32127,0.00138249020960526,9087.27778328395,5
2589704.87911572,0,0.00221198433536841,8712.21464808687,8
260048.731493026,1436.618572,0.000552996083842103,11150.2243636426,2
26496.0599343777,0,0.000276498041921052,17403.3050297386,1
1771767.49110064,0,0.00331797650305262,13169.9172157153,12
10696.0023195893,0,0.000276498041921052,20466.9649566956,1
9201854.92335442,0,0.00248848237728946,17938.1482007094,9
371016.102014087,NA,0,12478.1015228642,0
4087677.89323667,331.5273628,0.00248848237728946,18422.9756554516,9
