sec,D2_1,D2_2,D2_3,D2_4,D2_5,D2_6,D2_7,D2_8,D2_9,D2_10
583.262,43109.559,42900.652,38153.875,43903.617,44807.578,51487.113,39029.02,48356.195,35578.699,41073.094
593.319,41659.426,41679.367,37494.82,44708.461,45298.047,51011.5,39722.348,48593.418,36208.051,40813.031
603.375,41742.766,40662.062,38104.645,46041.746,44546.25,49767.43,39018.449,46444.75,34319.648,39614.062
613.431,43818.066,45103.918,37448.66,44352.652,45114.781,52223.742,40556.512,49608.973,34699.199,41045.699
623.487,45582.898,49485.797,37254.605,46304.57,45279.188,50008.887,40405.184,48861.668,34699.051,40886.953
633.544,42902.59,42953.387,38751.355,45669.383,44591.953,52223.688,39715.387,49676.098,35087.199,40585.855
643.6,41390.625,40225.594,37374.73,44601.793,44336.016,52423.285,40855.613,49089.277,34983.602,40410.586
653.656,41042.883,40348.855,38649.785,46986.129,44969.266,52241,40250.223,48622.125,36216.75,39775.523
663.712,41534.367,41207.613,36777.16,48371.285,44449.156,51361.355,39032.449,48849.641,35604.551,39759.078
673.769,42664.051,42115.777,38880.68,48207.062,44718.688,54576.602,40148.223,50004.234,36846.352,39635.906
683.825,41261.332,41077.387,38406.41,45357.301,44206.703,54241.457,39588.57,48928.766,35414.75,39641.383
693.881,41903.75,41045.797,37852.09,44388.254,42401.203,52935.758,41946.777,49146.707,37061.898,40238.176
703.938,41905.176,41302.695,39302.68,45559.84,45696.844,57828.672,41714.43,49834.18,36734.148,39310.191
713.994,41593.293,41753.145,42905.855,45171.176,46834.016,53189.516,40982.367,49994.609,37510.148,40815.793
724.05,40823.035,42538.102,40700.895,45658.461,44931.562,52090.73,40901.43,48952.668,37415.301,39570.254
734.106,41170.75,41049.164,39749.195,45067.109,45699.516,52620.312,39972.223,49520.332,36854.852,39553.824
744.162,40628.891,40936.551,39010.035,47344.762,45842.375,50999.258,39982.754,47532.234,36898.051,39113.031
754.219,40799.984,41123.121,39370.375,45264.191,44950.391,53645.285,39145.223,48947.859,37656.852,39405.953
764.275,39871.551,40521.223,38914.52,44777.016,46227.703,52603.145,39324.652,48377.793,34544,40249.094
774.331,41015.551,41450.43,39940.09,44741.383,49997.641,51735.973,40598.816,49304.805,37191.199,40610.492
784.387,41073.059,41566.672,40423.625,46734.285,49218.922,50915.543,42034.734,48210.141,36561.801,39931.539
794.444,41188.043,41943.285,39718.43,46110.047,46591.516,50925.355,40320.695,48361.055,35682.148,39857.668
804.5,41448.133,40704.328,40374.32,48012.668,48167.953,51863.957,42534.531,48243.695,36087.449,39898.699
814.556,41890.793,42932.266,39724.52,46652.176,46305.938,53017,41348.43,49968.293,34837.102,41182.652
824.612,42718.648,44452.836,39801.57,46263.414,46446,52787.93,41320.285,49704.859,33371.051,41505.637
834.669,41820.398,42337.406,41255.215,46216.871,46225.016,52253.312,42105.184,48770.625,35785.551,52222.906
844.725,41716.949,42295.203,39607.465,46227.793,45969.078,52674.629,41911.531,50538.391,37777.5,41779.383
854.781,41390.684,43970.613,40888.645,47213.348,46060.609,55153.129,41038.695,48346.695,36216.852,40180.652
864.837,41393.543,43502.449,41024.195,45787.109,46726.234,62822.516,41190.062,48634.141,35449.25,39238.953
874.894,41304.465,41739.184,41667.84,46351.031,47696.328,61585.77,40721.898,48715.598,37993.051,41262.016
884.95,39969.273,40806.367,42933.555,46151.207,47060.422,59107.258,39025.406,50068.82,34725,40813.047
895.006,40348.699,41957.328,43346.285,46660.316,48493.969,59491.629,41584.203,49261.707,34742.199,40427.062
905.062,40143.199,41626.488,41821.785,47082.016,48957.516,60629.844,40472.02,47340.625,35018.051,39299.176
915.119,40485.242,41137.266,41757.125,44924.777,48065.516,59875.957,41351.855,47860.375,36673.801,38508.062
925.175,41150.684,43249.039,42382.32,45825.492,48248.844,60900.898,41612.328,48495.195,34595.648,39770.047
935.231,40591.566,42062.816,42505.5,47087.43,49267.359,61504.457,40806.387,49786.277,34475,40202.539
945.287,40738.199,42428.98,42022.035,45869.223,46707.375,60536.156,41672.203,49106.027,36768.699,43473.871
955.344,42439.809,44428.164,43906.695,47377.637,46219.594,61332.016,39620.285,49848.445,34302.5,45907.586
965.4,42704.242,43505.938,42545.59,44697.586,47103.5,55653.215,40693.754,48507.152,33966.199,44752.332
975.456,43243.191,44396.469,42733.445,46088.176,46195.469,53246.258,43488.406,49508.359,36604.801,42986.586
985.512,43473.148,44741.328,43259.98,46164.891,47410.703,51359.043,42981.512,50370.68,36475.398,41908.047
995.569,44155.801,45543.816,43112.215,45477.777,47626.312,51755.656,42027.816,49592.266,34130,37801.793
1005.625,43047.816,44671.039,42018.895,46674.031,47677.422,51221.027,41334.367,50030.598,35751.102,39666.016
1015.681,41676.648,43150.512,41754.07,45546.223,47973.891,50686.398,42700,49453.293,36303,39917.938
1025.737,41265.559,41267.367,43842.16,44900.094,46909.484,52021.73,40222.082,49673.641,37449.852,38811.953
1035.794,41869.25,42735.121,42591.77,46652.16,47135.859,51674.328,43097.672,50607.832,36302.949,39353.938
