Time,cell6_1,cell6_2,cell6_3,cell6_4,cell6_5
0,-0.14027321,-0.063330654,-0.041588886,-0.136775818,-0.080981555
5,-0.143285567,-0.037159721,-0.092685044,-0.14311265,-0.088675754
10,-0.194214489,-0.077140723,-0.09437812,-0.171782201,-0.076274134
15,-0.036366963,0.012511062,0.021749512,-0.090910689,0.022614172
20,-0.035844821,0.011687004,0.069937052,-0.021574672,-0.019070852
25,0.038419829,0.041296247,0.042326894,0.077907439,0.046638252
30,0.073523833,0.01717125,0.024614717,0.07209355,-0.000760608
35,0.197994439,0.007282558,0.095289776,0.095379869,0.076278772
40,0.240046948,-0.055033246,-0.030909486,0.010816999,-0.038095326
45,0.36616431,-0.075464192,-0.086346863,0.025121013,0.024984115
50,0.58373684,-0.060687987,-0.017147819,0.093011248,0.041865901
55,0.540519554,-0.060233334,-0.139570219,-0.051320869,-0.168864236
60,1.253564623,0.200055208,0.164922943,0.188463626,0.187179119
65,1.590346176,0.139046529,0.083785544,0.052683156,0.073162135
70,1.960143165,0.214774582,0.183199479,0.160593869,0.228799213
75,2.2846343,0.028651225,0.115867159,-0.021205536,0.28048345
80,2.519839162,0.279278402,0.494161059,0.088243243,0.531924663
85,2.371269697,0.366259103,0.603255915,0.010878521,0.614061043
90,2.322670332,0.435536774,0.953679184,0.162347265,0.754699305
95,2.043284228,0.36978266,0.708270024,-0.044245765,0.575427726
100,2.207477787,0.682896136,1.270327762,0.241926801,0.874008079
105,2.222178091,0.821337815,1.462339918,0.382659844,0.840504227
110,2.027017498,0.801901422,1.501150423,0.508196793,0.869170798
115,2.029588043,1.00612563,1.753983069,0.657789096,1.158790819
120,1.930541733,0.979642124,1.887909703,0.821470084,1.54888993
125,1.906041227,1.002147421,2.113783373,0.925935529,2.070244925
130,1.734858999,1.105467196,2.706750597,1.154984323,2.934365101
135,1.59813814,1.200517979,3.095506837,1.264248534,3.674728802
140,1.778879582,1.572622614,3.618059475,1.495019962,4.273512756
145,1.745502662,1.867123755,3.734187107,1.750800344,4.568684287
150,1.777955792,2.158215002,3.89555025,1.987662513,4.427559051
155,1.678427505,2.56470273,3.916127632,2.123073847,4.159268518
160,1.521985746,2.750399851,3.648144129,2.209390113,3.831794339
165,1.673929051,3.008074141,3.682352941,2.372117499,3.429813048
170,1.529576887,3.205734304,3.287041459,2.491994366,2.900049625
175,1.517165974,3.187548205,3.06889516,2.505652393,2.63383685
180,1.513310157,3.118952513,2.851834165,2.452035411,2.355741894
185,1.484351361,3.110569858,2.378728023,2.520356304,2.039955106
190,1.488006355,2.98491528,2.337877143,2.557885115,1.842535607
195,1.481820981,2.797314303,2.199826351,2.450005164,1.604437498
200,1.700477961,2.514321553,2.136444541,2.378515854,1.652712912
205,1.690999076,2.375936706,2.173127849,2.335419244,1.573368519
210,1.888489225,2.230788903,2.205166052,2.238305754,1.587458317
215,1.93371475,2.08234487,2.239244628,2.23307633,1.560025415
220,1.685376009,1.882525107,2.055741263,1.984955517,1.310012661
225,2.015891859,1.998887725,2.283611895,2.24448878,1.564148467
230,1.689713804,1.777955038,2.083655307,1.923986579,1.26404226
235,1.938735345,1.994398032,2.471890601,2.09612693,1.591678764
240,1.970907322,1.860247136,2.541263295,2.055768077,1.695469281
245,1.911423305,1.745532633,2.626741914,2.016793484,1.84490555
250,1.723130888,1.717599922,2.577078359,1.938106025,1.7736774
255,1.625731333,1.700550454,2.71608422,1.886334723,2.08189985
260,1.634286428,1.735075627,2.54708053,1.993291835,2.160822199
265,1.86796503,1.78332562,2.595615368,2.086467875,2.511638693
270,1.770083498,1.705551631,2.608074669,1.987539468,2.583094097
275,1.614846682,1.641502464,2.470197526,1.970405412,2.611987923
280,1.552591297,1.747635401,2.703668331,1.960746358,2.693929514
285,1.620670573,1.705807373,2.794616887,1.843730294,2.838528502
290,1.558897165,1.778182364,2.661688735,1.80404819,2.663055325
295,1.748796173,1.79969311,2.807727371,1.805094075,2.665262943
300,1.708028936,1.709387762,2.553288474,1.717024414,2.498750099
305,1.905237932,1.774005245,2.994356414,1.946473105,2.813238288
310,1.721243144,1.654317981,2.61441285,1.830933584,2.636239258
315,1.790808517,1.406333471,2.861428261,1.854404472,2.611630808
320,2.048344989,1.386641336,2.968916866,1.972743273,2.490146881
325,2.033925838,1.397893985,2.974951161,2.091389687,2.566861611
330,2.084613771,1.334185807,3.074972867,2.096188453,2.60968291
335,2.039629235,1.265561699,3.044671153,2.021253875,2.60400154
340,1.884753902,1.221659319,3.06516171,1.967729177,2.511378973
345,1.734377022,1.198102638,2.891512915,1.78820611,2.25967804
350,1.642520205,1.242971154,2.773692208,1.811338623,2.196793388
355,1.756628302,1.35907803,2.942695898,1.923217546,2.275845597
360,1.453504822,1.240669476,2.747210766,1.737296124,2.119786473
365,1.281278311,1.181166833,2.387801172,1.67780373,2.157348447
370,1.318511048,1.100949087,2.475971348,1.737357646,2.157738026
375,1.651878595,1.272807723,2.702496201,1.93589121,2.444890709
380,1.364901351,1.167328348,2.557412633,1.884919702,2.300226791
385,1.210146512,1.144879882,2.582418059,1.771348906,2.142869069
390,1.31296831,1.260787848,2.553462123,1.892917645,2.150173688
395,1.274169147,1.37584334,2.593965704,2.040018281,2.37275354
400,1.324816916,1.34722865,2.660777078,2.078377648,2.081055761
405,1.200306145,1.232286821,2.464250054,1.990707884,2.090957578
410,1.151023978,1.299632219,2.299761233,1.962499753,1.924639523
415,1.031413309,1.240328486,2.348990666,2.031220543,2.011158675
420,0.894250637,1.230581874,2.360451487,1.920325982,1.926879606
425,0.866215631,1.265163878,2.264901237,1.839146857,1.97580432
430,0.874690397,1.246807284,2.252485348,1.789528846,2.08823052
435,0.744717218,1.052983251,2.082266117,1.650918335,1.934314085
440,0.631814064,1.058836902,2.196830909,1.558818941,1.898213035
445,0.816531817,1.0631561,2.123377469,1.601946313,2.047324654
450,0.923008609,1.034314084,2.176557413,1.657624303,2.060765153
455,0.944295934,1.093646232,2.076535707,1.623509999,1.899024659
460,0.94746895,1.064889463,2.047232472,1.506709264,1.869578929
465,0.870392767,1.052500183,1.86594313,1.383602458,1.63148082
470,1.130017806,1.227740296,2.006338181,1.339060066,1.842373282
475,1.041012688,1.230326132,1.797091383,1.213277025,1.539864667
480,1.248222709,1.315374561,1.871934013,1.238870444,1.706117792
485,1.365543987,1.272722475,1.928152811,1.09832197,1.775268184
490,1.337468817,1.376724229,1.924202301,1.052825977,1.755432086
495,1.482664441,1.349473496,2.104797048,1.058086162,1.764652138
500,1.64517108,1.553271468,2.261298025,1.109119194,1.970642389
505,1.615127836,1.617150141,2.257825049,1.069221761,1.885811416
510,1.739357453,1.708165883,2.323811591,1.064422995,1.911036699
515,1.632479014,1.848056767,2.282309529,1.046581429,2.021417606
520,1.702928011,1.923301751,2.276231821,0.978291297,1.950027131
525,1.540702526,1.944215765,1.990753202,0.810949712,1.923146134
530,1.645572727,2.161028164,2.187931409,0.877240358,2.056382382
535,1.708189596,2.168132109,2.082092468,0.871580275,2.013398758
540,1.812376995,2.150343831,2.302843499,0.925166496,2.142511954
545,1.648103107,1.874881263,2.229563707,0.939685839,2.228251947
550,1.659991878,1.67761892,2.335359236,0.969678127,2.40206941
555,1.496762274,1.368710979,2.352203169,0.978875762,2.239549757
560,1.365302999,1.16320806,2.312437595,0.938578431,2.150271083
565,1.364298879,1.005557315,2.327458216,1.011944181,2.051415241
570,1.397997117,0.945685267,2.448491426,1.126530101,1.970122949
575,1.004061104,0.772945742,2.263946169,1.028893669,1.752153123
580,1.090495678,0.700826493,2.222053397,1.134097386,1.832731185
585,1.091700621,0.760158641,2.240329933,1.337798852,1.92788602
590,1.03040919,0.628110513,2.053440417,1.249390816,1.850489525
595,0.942809838,0.639476825,1.829997829,1.243515404,1.859936832
600,0.850872691,0.601967996,1.771434773,1.318788356,1.78529986
605,0.804763541,0.522886881,1.716995876,1.364253588,1.542461865
610,0.807052933,0.561077689,1.679748209,1.465581378,1.544831808
615,0.856897406,0.592391878,1.612068591,1.442448865,1.415166708
620,0.632737854,0.538487144,1.437030606,1.345335375,1.194729544
625,0.714714138,0.578013493,1.57690471,1.311620968,1.191028537
630,0.64872343,0.734470776,1.660907315,1.276153165,1.205865029
635,0.612976789,0.620125679,1.40138919,1.121116109,1.241901149
640,0.544656524,0.643540281,1.427306273,1.03590725,1.168887425
645,0.631934558,0.607622736,1.372259605,0.909539745,1.105093754
650,0.553091125,0.520244213,1.169741697,0.839034798,1.013217882
655,0.778937597,0.702900845,1.4270458,0.955589442,1.170445744
660,0.640851136,0.540106843,0.980117213,0.725094866,1.014808665
665,0.867541068,0.694290864,1.161059258,0.80461288,0.980590584
670,0.830870638,0.62981546,1.022661168,0.703684986,0.922121169
675,0.924334046,0.656526293,0.943347081,0.77689693,1.011140123
680,0.896540029,0.649166606,1.111569351,0.707468629,1.096945046
685,0.782351602,0.63163407,0.907097895,0.677261012,1.022567794
690,0.862881956,0.602649974,0.876275233,0.663018521,1.054480862
695,0.852519446,0.661101233,0.940221402,0.738906699,1.191937556
700,0.681015901,0.586225654,0.84857825,0.686643215,1.145577575
705,0.791870652,0.628337839,1.047883655,0.754225836,1.153336704
710,0.600525712,0.651411452,0.962405036,0.727771101,1.141584383
715,0.521200302,0.658799555,0.820794443,0.685412762,1.24680336
720,0.460712166,0.600234633,0.759279357,0.59522057,1.178237338
725,0.50694181,0.651525115,0.821879748,0.704915439,1.331472008
730,0.731422681,0.850492405,1.100238767,0.80578181,1.566096365
735,0.627074622,0.773315147,0.973258086,0.727002068,1.49587463
740,0.625066383,0.789568973,0.995311483,0.663203088,1.448248515
745,0.709171401,0.863393169,1.062036032,0.727494249,1.578562915
750,0.741182718,0.959353257,1.13110484,0.793938701,1.664887277
755,0.603779058,0.887915987,1.086650749,0.618937548,1.645830338
760,0.572812024,1.068185693,1.20907315,0.670770373,1.867241451
765,0.601851149,1.126523289,1.161710441,0.548094226,1.836789307
770,0.814724403,1.289288875,1.159192533,0.648406893,1.863605374
775,0.693225989,1.432220247,1.190753202,0.599281064,1.930580613
780,0.606429933,1.525168262,1.288951595,0.546586922,2.005282515
785,0.580322835,1.440063002,1.191664858,0.473836398,1.776729108
790,0.71531661,1.567280448,1.329628826,0.513641547,1.871981337
795,0.712906724,1.392239245,1.554547428,0.507858419,1.846496334
800,0.772310411,1.367631179,1.465205123,0.565935792,1.887110015
805,0.783877863,1.202308173,1.695029303,0.667601957,1.883571333
810,0.607875864,1.047271679,1.519861081,0.459563145,1.773320286
815,0.750340285,0.961086619,1.751074452,0.539973238,1.819323152
820,0.935339191,0.99737357,2.021879748,0.661418932,1.95778626
825,0.98000241,1.116918755,2.072802257,0.728386327,1.977882078
830,1.044386528,1.062104716,2.141089646,0.611493308,1.956520126
835,1.121141393,1.067276388,2.461080964,0.68630484,2.008593942
840,1.058645019,0.97952846,2.309311917,0.569196492,1.949832342
845,0.99542568,0.932756087,2.276448882,0.601557402,2.008042038
850,1.128933358,1.079495173,2.486129802,0.738752892,2.178548074
855,0.95353383,1.013826307,2.394139353,0.70423869,1.916296025
860,1.088808758,0.995498129,2.259170827,0.717435297,1.929606664
865,1.059046667,0.89078598,2.126372911,0.710452477,1.622228303
870,1.038803626,0.879078679,2.104015628,0.790124298,1.62024794
875,0.819624504,0.720291302,1.911916649,0.633610698,1.324979014
880,1.007756262,0.764364177,2.192663338,0.767514727,1.531293915
885,0.988918988,0.675053381,2.156153679,0.763915652,1.618916876
890,0.952409216,0.647632154,2.136922075,0.72986287,1.473863378
895,0.97140715,0.605662047,2.04067723,0.725310195,1.463571982
900,0.962852055,0.474125403,1.73010636,0.680460189,1.307772578
905,1.041695489,0.543971389,1.827089212,0.7463817,1.37705283
910,0.838863426,0.445254971,1.585370089,0.60897088,1.196093072
915,0.88011264,0.500949899,1.662339918,0.648591461,1.225019363
920,1.045912789,0.491998928,1.65626221,0.700085912,1.363774656
925,0.972893247,0.429512629,1.503017148,0.581624066,1.235213364
930,1.110176413,0.5276039,1.699327111,0.724633446,1.273522032
935,0.83223624,0.366514845,1.473583677,0.621613783,1.141422059
940,0.869468977,0.322640881,1.395441719,0.626873969,1.05113697
945,0.779901552,0.300107168,1.452485348,0.581685589,0.989258732
950,0.683064304,0.234324638,1.425482961,0.56913497,0.875631328
955,0.746163149,0.312666943,1.580985457,0.657389199,0.915108734
960,0.679569969,0.307694181,1.501410896,0.673631176,0.888162807
965,0.745801666,0.419368195,1.571912307,0.783141478,0.902512325
970,0.631372252,0.440736862,1.45982201,0.757886434,0.842841705
975,0.58204992,0.432297375,1.492858693,0.762592916,0.968481149
980,0.550841898,0.38600807,1.415324506,0.787632631,0.752426757
985,0.40958242,0.293940944,1.170045583,0.683905457,0.761906529
990,0.48991195,0.413258803,1.318037769,0.782680058,0.876994857
995,0.415245652,0.362280894,1.277968309,0.694487352,0.802292955
1000,0.43697479,0.395129535,1.432906447,0.784618021,0.852743522
1005,0.579640034,0.415475234,1.391881919,0.818086338,0.907414536
1010,0.364798708,0.356029423,1.238680269,0.7333389,0.864658167
1015,0.316038683,0.36560554,1.166051661,0.68233663,0.811448077
1020,0.426210633,0.499102873,1.289385717,0.769975633,0.96202062
1025,0.417494879,0.452273668,1.199001519,0.779204029,0.939230209
1030,0.425487667,0.459320782,1.164141524,0.719157931,0.944522
1035,0.183093312,0.281608496,0.845582809,0.553631264,0.739992672
1040,0.245991333,0.330512052,0.869372694,0.554800194,0.784826799
1045,0.199641195,0.308006755,1.021358802,0.567535381,0.846510247
1050,0.239966619,0.363417525,1.043021489,0.55796861,0.838166749
1055,0.179277659,0.432865691,0.90167137,0.525053997,0.765997115
1060,0.253582474,0.501660293,0.859561537,0.513487741,0.746940176
1065,0.350218898,0.584975359,0.808508791,0.581070362,0.82001883
1070,0.292421801,0.522233318,0.753071413,0.426556248,0.669738471
1075,0.296478443,0.579860519,0.603472976,0.39050398,0.664446681
1080,0.351785324,0.681674258,0.629563707,0.410221987,0.620651433
1085,0.196026366,0.628025266,0.58953766,0.387427848,0.74872575
1090,0.45653503,0.731458704,0.717212937,0.546033218,0.913647811
1095,0.247959407,0.591141584,0.425700022,0.378999246,0.69532087
1100,0.27985023,0.714750225,0.502626438,0.426094828,0.873618499
1105,0.422595804,0.812500507,0.649229433,0.513057082,1.091685721
1110,0.34568028,0.700826493,0.699153462,0.416835671,1.055682066
1115,0.37206853,0.690483149,0.56249186,0.380844926,1.031885241
1120,0.455490746,0.813296149,0.762622097,0.481957387,1.113696972
1125,0.38319417,0.745723425,0.670154113,0.405607789,1.093828409
1130,0.401268314,0.797809549,0.560234426,0.356205108,0.98520061
1135,0.427977883,0.839523914,0.575645756,0.344238954,0.913063441
1140,0.303386782,0.772860495,0.530193184,0.277025468,0.967539665
1145,0.322344551,0.78016335,0.517907532,0.255923202,0.743920934
1150,0.517183825,0.821053657,0.744736271,0.409575999,0.789891335
1155,0.517746132,0.854868435,0.693509876,0.397732891,0.847159547
1160,0.374960393,0.781555723,0.502148904,0.321967758,0.679770148
1165,0.426813104,0.805282899,0.61441285,0.319199239,0.708176999
1170,0.459306399,0.853163488,0.605947471,0.349345333,0.698632297
1175,0.493486614,0.8036632,0.668634686,0.364972084,0.726162594
1180,0.341181826,0.697047195,0.517733883,0.256261577,0.561305463
1185,0.569438184,0.788631252,0.775819405,0.426679293,0.739992672
1190,0.481919162,0.606003036,0.542912959,0.266843471,0.593250996
1195,0.447738947,0.610975798,0.629650532,0.325782162,0.643798958
1200,0.48055356,0.607452241,0.629997829,0.305787303,0.701489215
1205,0.409381597,0.566902924,0.602127198,0.236728138,0.67194609
1210,0.450751304,0.503848308,0.541523768,0.260568162,0.643961283
1215,0.390263168,0.470346104,0.596266551,0.264936269,0.655746068
1220,0.25675549,0.435906179,0.506837421,0.212857353,0.697820673
1225,0.368975843,0.453666042,0.585847623,0.2735802,0.693340507
1230,0.314592752,0.45596772,0.634990232,0.245648921,0.648798564
1235,0.23711492,0.321987318,0.481093987,0.21208832,0.702852744
1240,0.281055173,0.390781921,0.573779032,0.205013216,0.790897749
1245,0.290373398,0.36688425,0.512915129,0.241342336,0.735480041
1250,0.26442696,0.277147218,0.569177339,0.177666402,0.707917279
1255,0.28069369,0.228272077,0.571651834,0.174528748,0.682464741
1260,0.158110828,0.187296523,0.434990232,0.150504156,0.675549702
1265,0.310254957,0.24495214,0.488691122,0.182865065,0.721260383
1270,0.248682373,0.246259266,0.414065552,0.10143985,0.761354624
1275,0.296719431,0.21943477,0.441198177,0.185079881,0.836640896
1280,0.375080887,0.307239529,0.641632299,0.256323099,0.993738898
1285,0.337727656,0.251828758,0.483047536,0.203198298,0.90215521
1290,0.401589632,0.340713317,0.72615585,0.294036479,1.016302054
1295,0.314191104,0.241542246,0.546733232,0.177543357,0.93283461
1300,0.288887302,0.212444488,0.528586933,0.159824836,0.836738291
1305,0.352186971,0.21471775,0.583199479,0.178220106,0.890760005
1310,0.252859508,0.168485277,0.432559149,0.112513925,0.874170404
1315,0.236753437,0.193917399,0.377946603,0.08375209,0.858035313
1320,0.355922295,0.306813292,0.603212503,0.240388735,0.933354049
1325,0.340860508,0.171326855,0.540091166,0.152257551,0.935464272
1330,0.379940824,0.188489985,0.577252008,0.191724326,0.983252712
1335,0.25169473,0.232648107,0.523030171,0.082214024,0.867839734
1340,0.309451662,0.223753968,0.58519644,0.136323187,0.80232542
1345,0.546584433,0.338923123,0.770653354,0.22233184,0.970299188
1350,0.321380597,0.126657249,0.544302149,0.103254767,0.864690632
1355,0.325597897,0.151123235,0.588278706,0.076400134,0.981207419
1360,0.30639914,0.111738965,0.460690254,0.029796734,0.714020694
1365,0.268282778,0.129584074,0.545040156,0.03739478,0.687626671
1370,0.358211686,0.200879265,0.726850445,0.148566193,0.885955189
1375,0.436814131,0.251516185,0.797482092,0.193631528,0.842776775
1380,0.344515501,0.180391488,0.777034947,0.15431856,0.779372684
1385,0.217996492,0.074855282,0.500455828,0.009432739,0.498810391
1390,0.352709113,0.20232847,0.750206208,0.150627201,0.799208782
1395,0.479107628,0.304142209,0.83533753,0.209565892,0.875436538
1400,0.322384716,0.205795195,0.610201867,0.120881004,0.667043879
1405,0.516179706,0.295077575,0.838680269,0.238081636,0.762815548
1410,0.221530992,0.06127254,0.503190797,-0.015299363,0.456183882
1415,0.365200355,0.274760293,0.786715867,0.143306007,0.751550202
1420,0.489630797,0.302835083,0.898415455,0.225961676,0.664868726
1425,0.219562918,0.191786216,0.762231387,0.098394479,0.639708372
1430,0.322344551,0.275129698,0.712958541,0.11239088,0.646201366
1435,0.393074702,0.239638389,0.724419362,0.131616705,0.617859445
1440,0.331421788,0.243218777,0.700542652,0.140752817,0.577408089
1445,0.389138555,0.270526341,0.631343608,0.126356519,0.68291925
1450,0.329172561,0.215428145,0.620013024,0.139983784,0.537930683
1455,0.323951142,0.193519578,0.665986542,0.11239088,0.515692176
1460,0.11935183,0.118359841,0.468157152,0.039978731,0.434334955
1465,0.217594845,0.191388395,0.474972867,0.085905383,0.415537736
1470,0.14658354,0.152259866,0.485999566,0.039086652,0.430406693
1475,0.070953288,0.121315082,0.356935099,-0.034986608,0.280775635
1480,0.058140728,0.100031663,0.235033644,-0.057965314,0.299637784
