Time,cell4_7,cell4_8,cell4_1,cell4_2,cell4_3
0,0.152526874,0.047431582,0.085238943,0.050850488,-0.125636288
5,0.078885653,0.069934319,0.134651951,0.092089845,-0.072266334
10,0.069730759,0.070595238,0.01084235,0.004196683,-0.033546955
15,0.054111768,-0.031689929,-0.002642321,0.001998336,-0.027957276
20,0.065617243,0.040822386,-0.035799834,-0.011028904,0.125797198
25,0.121969324,0.017029283,0.01328991,0.036642654,0.102494105
30,0.086648755,0.057345375,-0.076854192,-0.021043595,0.093739492
35,0.052503476,-0.065365353,-0.037831771,0.038393189,0.168115411
40,0.025255296,-0.027692939,-0.059813632,-0.059881056,0.181438757
45,0.012791032,-0.042422003,-0.024116198,0.014414925,0.257958663
50,0.001563916,0.026282157,-0.006706194,0.019015169,0.242746567
55,-0.071520589,-0.107978927,-0.080363901,-0.10010266,0.12840061
60,-0.0850055,-0.047426108,-0.056581005,-0.052716073,0.147083923
65,0.0010072,-0.002389163,-0.050485195,-0.036839124,0.043432376
70,-0.018879951,-0.019982211,0.073647668,-0.040095934,0.052748509
75,0.0010072,0.022442529,0.005485426,0.001794786,-0.023669302
80,-0.065489494,0.015266831,-0.034968587,-0.001543445,-0.034874185
85,-0.108665951,-0.04531746,-0.007260359,-0.039037471,-0.148939381
90,-0.087696296,-0.084689381,-0.007537441,-0.042904933,-0.167061174
95,-0.094345966,0.024047619,0.042752993,0.008023435,-0.201237342
100,-0.062953341,0.09649699,0.079235494,0.044051897,-0.243759745
105,-0.034901015,0.014952107,0.019847524,0.042586332,-0.250676654
110,-0.094160394,-0.027692939,0.015968372,0.051135459,-0.214330975
115,-0.087201437,0.056936234,0.011442695,0.045517461,-0.259150506
120,-0.051695296,0.044913793,-0.072005253,-0.005655168,-0.260069358
125,-0.014859221,0.015266831,-0.020190866,0.020684284,-0.223978915
130,0.029059526,-0.010036946,-0.028457154,-0.053652406,-0.318084616
135,0.122866256,-0.001319102,0.005623967,0.022841921,-0.275894021
140,0.185249433,0.0272578,0.046539784,0.018526647,-0.308564295
145,0.32535642,0.095647236,0.068798728,0.121360426,-0.247052296
150,0.417802288,0.191197318,0.350129606,0.32250916,-0.276251352
155,0.488505283,0.237587575,0.583340528,0.495567906,-0.207082258
160,0.4423906,0.29622058,0.657875662,0.602106307,-0.192355112
165,0.409760827,0.426673508,0.848508273,0.840504806,-0.132655292
170,0.452349639,0.423652162,0.799418529,0.744347487,-0.120454987
