sec,D5_1,D5_2,D5_3,D5_4,D5_5,D5_6,D5_7,D5_8,D5_9,D5_10
0,24616.938,25322.143,39777.145,20040.291,17484.381,28143.625,30724.184,33321.102,33434.414,17142.197
10.056,25436.916,25124.66,40516.23,20431,16986.119,28236.65,31332.834,34174.035,33582.043,17410.018
20.112,24994.688,25911.465,40348.215,20532.777,17811.143,27895.75,31898.367,34583.434,34335.516,17290.553
30.169,25293.916,26397.91,40969.34,20129.736,17833.5,29336.1,32677.117,34992.934,34424.543,17677.143
40.225,25377.791,25765.41,41396,20483.334,17297.953,28530.176,31878.6,34976.035,33982.086,17675.518
50.281,24924.959,26639.178,40626.605,20873.959,17071.953,28707,32829.633,35314.898,35024.258,17497.785
60.337,25563.959,26612.75,41114.59,20468.541,17688.238,28725.051,32864.148,34901.168,34365.215,17480.393
70.394,25276.271,26189.84,41347.625,20430.93,17349.215,29726.9,32471.684,36866.832,34502.559,18238.482
80.45,25298.334,26066.465,41274.18,20140.32,17833.404,28256.9,32915.785,36030.832,34865.688,17839
90.506,24707.916,25744.232,42169.93,20541.598,17389.619,29230.199,33022.352,35828.934,34753.77,17164.215
100.562,25060.896,26182.322,41840.82,20541.625,17595.453,28392.4,32872,36834.5,35414.629,17630.16
110.619,25011.521,26495.5,42656.25,20648.07,17340.215,28686.85,33201,35963.102,35179.156,17648.34
120.675,24530.521,26349.447,42135.035,20801.111,16620,28612.699,33372.602,36179.234,34734.398,17638.553
130.731,24804.875,26196.59,42579.945,20522.777,17436.977,28634.926,33219.332,36028.066,34754.914,17876.035
140.787,24537.479,26142.91,43206.215,20609.209,17784.023,28194.375,33406.535,36095.867,35696.613,17354.09
150.844,24489,26285.197,43213.09,20266.805,17629.691,28561.926,33256.082,37008,35299.613,17248.91
160.9,24585.271,25844.84,42952.84,20184.416,17067.953,28474,34318.648,35919.367,35543.5,17138.5
170.956,24336.334,25922.822,43246.41,20827.541,17694.166,27907.426,33616.199,36745.367,35446.043,16883.59
181.012,23845.604,25546.84,44006.695,20718.695,17303.904,28059.9,33659.25,38014.867,36085.188,17085.553
191.069,24196.021,25974.982,43993.77,21317.611,17040.691,28224.074,34248.785,37451.535,34703.484,17211.125
201.125,25036.125,25896.268,43716.91,20918.125,17025.523,28546.949,34087.801,36683.332,35070.27,16444.822
211.181,24220.729,26139.91,43984.625,21274.166,17349.285,27632.025,33806.852,36989.633,34835.457,16907.697
