sec,D4_1,D4_2,D4_3,D4_4,D4_5,D4_6,D4_7,D4_8,D4_9,D4_10
583.262,21174.012,26868.963,24066,25560.438,18552.26,49762.414,25854.785,28334.738,27556.762,37575.031
593.319,21271.812,26612.051,23608.268,25818.791,18583.658,49219.777,24875.143,27946.879,27211.977,37878.297
603.375,21646.5,25877.562,23419.232,25492.688,18460.305,48882,24925.285,27927,26865.928,37040.812
613.431,21208.287,26172.137,24828.732,26955.334,18371.768,48805,24699.762,28088.768,27228.238,37949.75
623.487,21128.25,25844.338,24438.166,26458.541,18278.945,49596.047,25306.666,28214.051,27674.523,37720.828
633.544,21480.65,25634.938,23583.967,26080.041,18264.953,50459.855,25432.047,28416.516,28122.797,40223.609
643.6,21040.137,25628.688,23812.732,26108.666,18471.75,49878.602,25582.357,28066.152,27901.119,37750.172
653.656,21020.062,24884.35,24131.5,25696.771,18503.936,49670.906,24452.357,28267.717,27838.977,37399.125
663.712,21354.738,25418.801,24636.533,26024.75,18177.686,49658.508,24586.334,28371.312,28216.596,36453
673.769,21039.574,25720.176,23683.166,25605.25,18285.768,49334.57,24385.834,27565.969,28515.191,37099.5
683.825,21465.199,25014.287,23706,26033.354,18270.064,49698.555,24092.834,28236.777,28707.465,36281.453
693.881,21306.713,25255.137,23663.199,25835.041,18318.389,49888.793,24081.928,27913.586,28826.262,37108.891
703.938,20855.375,25165.9,23584,25876.062,18289.092,49583,24190.834,28147.545,28945.047,37429.188
713.994,21833.6,24655.025,24044.699,25727.271,18654.371,49306.906,23943.5,28073.98,29084.441,36508.141
724.05,21493.787,25473.688,23745.633,25731.041,18281.49,50042.062,23935.953,27821.201,29927.297,36014.688
734.106,21281.613,25020.025,24162.1,25580.5,18071.75,49930.238,24304.215,27790.688,29465.846,37357.672
744.162,21054.988,24814.088,23361.166,25362.041,17864.936,51023.555,23845.404,28101.768,29302.904,37306.203
754.219,20858.199,25110.9,22836.367,25578.562,18121.334,50233.145,24117.857,27772.656,29935.5,36859.281
764.275,21345.6,24702.537,21689.268,25424.062,18277.297,49978.207,23872.666,39997.496,30502.654,37567.141
774.331,21126.537,25176.725,22447.4,25806.375,17776.805,49237.906,23036.928,35726.969,29829.797,37321.844
784.387,21633.338,24722.512,21684.633,25559.416,18194.621,49489.238,22996.547,28501.182,30425.857,36759.094
794.444,21008.1,25211.662,23107.934,25799.75,18048.436,49683.285,24249.596,27812.354,30238.988,37391.891
804.5,21410.238,25451.25,22145.367,25715.854,17747.139,49254.684,24056.834,27925.182,30355.559,37409.047
814.556,21318.176,25065.775,22458.033,26033.291,18281.074,49736.348,23818.215,27893.232,30270.559,36606.812
824.612,21136.238,25225.363,22465.768,26051.5,17714.936,49175.477,23120.762,27704.666,31036.572,36164.078
834.669,21214.662,25296.35,22589.334,25896.104,17862,49338.84,23392.191,28178.424,30660.143,36101.234
844.725,21022.426,24985.65,23080.533,26048.604,18270.482,48606.715,23476.047,28092.535,31543.273,36158.375
854.781,21045.275,26131.475,23196.5,25810.209,17980.213,48832.637,23915.166,28255.707,42044.82,36905.703
864.837,21240.838,25375.838,23390.066,25815,18205.629,48854.363,22790.619,28549.242,32258.059,36522.359
874.894,21187.738,25224.801,22191.066,25633.834,17951.787,48684.398,24309.643,28456.334,31739.965,36315
884.95,20673.463,25612.625,22275.033,25769.188,17811.129,48630.016,24319.477,27865.596,32276.047,36093.359
895.006,20799.875,25101.25,22056.967,26413.812,18246.76,49625.871,24291.191,28357.404,31792.834,36196.312
905.062,20945.775,24966.824,22807.434,26691.188,18099.695,49256.922,24832.619,27806.869,31563.393,37061.609
915.119,21341.025,25381.551,21947,26349.916,18386.547,49115.906,24785.857,27952.445,31752.465,36425.859
